k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.9,-0.5,-1.36327,-0.211186,0.111154
-0.8,-0.5,-1.206288,-0.454871,0.105834
-0.7,-0.5,-1.12911,-0.478588,0.097413
-0.6,-0.5,-0.937056,-0.593377,0.113831
-0.5,-0.5,-0.787264,-0.677028,0.111105
-0.4,-0.5,-0.476294,-0.485724,0.111836
-0.3,-0.5,-0.342062,-0.477908,0.111559
-0.2,-0.5,-0.21073,-0.474886,0.10365
-0.1,-0.5,-0.069058,-0.448046,0.113322
0.0,-0.5,0.027765,-0.489887,0.125079
0.1,-0.5,0.162738,-0.518073,0.123264
0.2,-0.5,0.399249,-0.499512,0.110192
0.3,-0.5,0.465149,-0.53216,0.056436
0.4,-0.5,0.586388,-0.612031,0.048262
0.5,-0.5,0.798925,-0.578877,0.050907
0.6,-0.5,0.959121,-0.534581,0.045979
0.7,-0.5,1.093651,-0.443291,0.044715
0.8,-0.5,1.470342,-0.320756,0.057637
0.9,-0.5,1.377879,-0.341281,0.052046
1.0,-0.5,1.562727,0.123014,0.063474
-1.0,-0.4,-1.472259,-0.101019,0.098388
-0.9,-0.4,-1.334784,-0.18414,0.094482
-0.8,-0.4,-1.201822,-0.338647,0.097641
-0.7,-0.4,-1.090657,-0.487791,0.090785
-0.6,-0.4,-0.938554,-0.548587,0.09777
-0.5,-0.4,-0.758192,-0.53483,0.106208
-0.4,-0.4,-0.486455,-0.404628,0.104278
-0.3,-0.4,-0.319475,-0.366763,0.100665
-0.2,-0.4,-0.170637,-0.301389,0.097891
-0.1,-0.4,-0.054249,-0.296424,0.108549
0.0,-0.4,0.072123,-0.325972,0.12227
0.1,-0.4,0.242014,-0.361217,0.118841
0.2,-0.4,0.308277,-0.525653,0.053161
0.3,-0.4,0.383371,-0.376406,0.078665
0.4,-0.4,0.598528,-0.52663,0.064297
0.5,-0.4,0.717176,-0.478629,0.059572
0.6,-0.4,0.969179,-0.530813,0.049922
0.7,-0.4,1.173687,-0.375668,0.047384
0.8,-0.4,1.294474,-0.158382,0.04476
0.9,-0.4,1.602568,0.007415,0.085126
1.0,-0.4,1.387064,-0.179443,0.076024
-1.0,-0.3,-1.400646,0.060951,0.106006
-0.9,-0.3,-1.285178,-0.119213,0.094215
-0.8,-0.3,-1.231061,-0.200159,0.095204
-0.7,-0.3,-1.176987,-0.242425,0.097803
-0.6,-0.3,-0.998786,-0.407042,0.096301
-0.5,-0.3,-0.74743,-0.511049,0.10426
-0.4,-0.3,-0.531247,-0.419525,0.106371
-0.3,-0.3,-0.299262,-0.305646,0.109089
-0.2,-0.3,-0.124221,-0.202382,0.101696
-0.1,-0.3,-0.035209,-0.214888,0.113705
0.0,-0.3,0.067132,-0.263414,0.116922
0.1,-0.3,0.166427,-0.378815,0.092274
0.2,-0.3,0.213433,-0.308598,0.077812
0.3,-0.3,0.312937,-0.296853,0.077267
0.4,-0.3,0.570545,-0.382405,0.08025
0.5,-0.3,0.815821,-0.377344,0.066871
0.6,-0.3,1.018216,-0.241926,0.049042
0.7,-0.3,1.182793,-0.082903,0.043457
0.8,-0.3,1.337635,0.073319,0.043437
0.9,-0.3,1.493159,0.225089,0.051026
1.0,-0.3,1.752187,0.125687,0.083081
-1.0,-0.2,-1.38462,0.631423,0.084754
