Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X R1,Body Vel Y R1,Body Vel Z R1,Body Vel X R2,Body Vel Y R2,Body Vel Z R2,Body Vel X L1,Body Vel Y L1,Body Vel Z L1,Body Vel X L2,Body Vel Y L2,Body Vel Z L2,
1.000, -0.758, -0.326, 0.446, -0.615, -0.356, 0.505, 0.758, 0.266, -0.449, 0.615, 0.323, -0.567, -0.036, -0.102, 0.131, -0.036, -0.041, 0.127, 0.014, -0.103, -0.135, 0.014, -0.042, -0.139
1.010, -1.852, -0.696, 0.988, -1.470, -0.799, 1.196, 1.842, 0.654, -0.983, 1.489, 0.775, -1.232, -0.048, -0.182, 0.188, -0.047, -0.085, 0.182, 0.032, -0.187, -0.188, 0.032, -0.090, -0.193
1.020, -1.722, -0.178, 0.057, -0.999, -0.367, 0.449, 1.293, 0.266, -0.202, 1.028, 0.384, -0.448, -0.032, -0.184, 0.080, -0.032, -0.114, 0.070, 0.023, -0.187, -0.065, 0.024, -0.118, -0.075
1.030, -1.009, 0.102, -0.507, -0.467, -0.038, -0.215, 0.698, -0.070, 0.450, 0.477, 0.024, 0.251, -0.033, -0.189, 0.004, -0.033, -0.118, 0.002, 0.023, -0.190, 0.002, 0.023, -0.118, 0.000
1.040, -0.891, -0.083, -0.294, -0.552, -0.181, -0.094, 0.902, 0.012, 0.403, 0.562, 0.128, 0.158, -0.047, -0.228, 0.030, -0.046, -0.119, 0.031, 0.038, -0.230, -0.031, 0.039, -0.121, -0.030
1.050, -1.207, -0.191, -0.174, -0.748, -0.319, 0.084, 1.229, 0.170, 0.268, 0.767, 0.333, -0.073, -0.054, -0.256, 0.038, -0.052, -0.120, 0.039, 0.053, -0.260, -0.048, 0.054, -0.124, -0.047
1.060, -1.032, -0.080, -0.433, -0.537, -0.222, -0.145, 1.035, 0.089, 0.503, 0.543, 0.262, 0.142, -0.053, -0.258, -0.004, -0.051, -0.115, 0.001, 0.058, -0.260, -0.011, 0.060, -0.117, -0.006
1.070, -0.879, -0.006, -0.638, -0.344, -0.171, -0.301, 0.857, 0.018, 0.694, 0.335, 0.192, 0.332, -0.056, -0.262, -0.026, -0.053, -0.106, -0.016, 0.065, -0.263, 0.006, 0.067, -0.107, 0.016
1.080, -0.946, -0.052, -0.625, -0.337, -0.246, -0.229, 0.914, 0.071, 0.677, 0.323, 0.260, 0.281, -0.062, -0.269, -0.024, -0.058, -0.094, -0.009, 0.074, -0.272, -0.003, 0.078, -0.096, 0.012
1.090, -0.964, -0.077, -0.629, -0.295, -0.292, -0.191, 0.919, 0.111, 0.674, 0.276, 0.315, 0.247, -0.065, -0.268, -0.031, -0.060, -0.080, -0.013, 0.082, -0.271, -0.002, 0.086, -0.082, 0.017
1.100, -0.880, -0.057, -0.700, -0.178, -0.286, -0.232, 0.814, 0.103, 0.732, 0.147, 0.311, 0.297, -0.065, -0.260, -0.045, -0.060, -0.064, -0.023, 0.086, -0.263, 0.008, 0.092, -0.068, 0.030
1.110, -0.827, -0.057, -0.725, -0.095, -0.299, -0.230, 0.743, 0.113, 0.746, 0.056, 0.322, 0.305, -0.066, -0.251, -0.051, -0.059, -0.049, -0.025, 0.090, -0.255, 0.009, 0.097, -0.053, 0.034
1.120, -0.811, -0.075, -0.703, -0.054, -0.329, -0.185, 0.715, 0.144, 0.711, 0.010, 0.354, 0.267, -0.066, -0.241, -0.052, -0.058, -0.035, -0.024, 0.094, -0.246, 0.006, 0.101, -0.040, 0.034
1.130, -0.769, -0.082, -0.688, -0.003, -0.343, -0.157, 0.662, 0.161, 0.682, -0.045, 0.367, 0.247, -0.064, -0.228, -0.056, -0.056, -0.022, -0.024, 0.095, -0.234, 0.006, 0.104, -0.027, 0.037
1.140, -0.709, -0.079, -0.678, 0.052, -0.342, -0.141, 0.591, 0.168, 0.658, -0.105, 0.363, 0.241, -0.062, -0.213, -0.058, -0.052, -0.010, -0.025, 0.095, -0.219, 0.006, 0.105, -0.016, 0.040
1.150, -0.659, -0.079, -0.651, 0.088, -0.342, -0.114, 0.534, 0.178, 0.615, -0.143, 0.362, 0.222, -0.058, -0.197, -0.058, -0.048, 0.000, -0.023, 0.094, -0.204, 0.004, 0.104, -0.007, 0.040
1.160, -0.612, -0.080, -0.611, 0.110, -0.338, -0.083, 0.485, 0.189, 0.561, -0.165, 0.358, 0.196, -0.054, -0.180, -0.057, -0.043, 0.008, -0.021, 0.092, -0.188, 0.002, 0.103, 0.001, 0.039
1.170, -0.557, -0.074, -0.572, 0.130, -0.326, -0.059, 0.430, 0.192, 0.510, -0.184, 0.343, 0.179, -0.048, -0.163, -0.055, -0.038, 0.015, -0.018, 0.089, -0.170, 0.001, 0.100, 0.007, 0.038
1.180, -0.500, -0.066, -0.530, 0.143, -0.306, -0.038, 0.375, 0.190, 0.457, -0.196, 0.323, 0.164, -0.042, -0.145, -0.052, -0.032, 0.019, -0.016, 0.085, -0.153, 0.000, 0.095, 0.012, 0.037
1.190, -0.444, -0.057, -0.481, 0.147, -0.284, -0.017, 0.325, 0.188, 0.400, -0.197, 0.301, 0.147, -0.036, -0.128, -0.048, -0.026, 0.022, -0.013, 0.080, -0.135, -0.001, 0.090, 0.015, 0.035
