Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
2.26,-2.094,-2.094,-2.094,0.368,-0.989,0.249
2.27,-2.094,-2.094,-2.021,0.332,-0.963,0.222
2.28,-1.935,-2.094,-1.708,0.26,-0.885,0.21
2.29,-1.591,-2.094,-1.353,0.168,-0.796,0.207
2.3,-1.245,-2.094,-1.039,0.088,-0.716,0.207
2.31,-0.95,-2.094,-0.786,0.026,-0.653,0.207
2.32,-0.716,-2.094,-0.589,-0.021,-0.605,0.207
2.33,-0.536,-2.094,-0.44,-0.056,-0.57,0.205
2.34,-0.4,-2.094,-0.328,-0.081,-0.545,0.202
2.35,-0.298,-2.094,-0.244,-0.1,-0.527,0.198
2.36,-0.221,-2.094,-0.181,-0.114,-0.515,0.192
2.37,-0.165,-1.995,-0.135,-0.113,-0.467,0.169
2.38,-0.122,-1.663,-0.1,-0.096,-0.382,0.133
2.39,-0.091,-1.309,-0.074,-0.077,-0.298,0.101
2.4,-0.067,-1.003,-0.055,-0.06,-0.228,0.075
2.41,-0.05,-0.757,-0.041,-0.046,-0.171,0.055
2.42,-0.037,-0.567,-0.03,-0.035,-0.128,0.041
2.43,-0.028,-0.423,-0.023,-0.026,-0.095,0.03
2.44,-0.021,-0.315,-0.017,-0.02,-0.071,0.022
2.45,-0.015,-0.234,-0.012,-0.015,-0.053,0.016
2.46,-0.011,-0.174,-0.009,-0.012,-0.039,0.012
2.47,-0.008,-0.129,-0.007,-0.009,-0.029,0.009
2.48,-0.006,-0.096,-0.005,-0.007,-0.021,0.007
2.49,-0.005,-0.071,-0.004,-0.006,-0.015,0.005
2.5,-0.003,-0.053,-0.003,-0.005,-0.011,0.004
2.51,-0.003,-0.039,-0.002,-0.004,-0.008,0.003
2.52,-0.002,-0.029,-0.002,-0.003,-0.006,0.002
2.53,-0.001,-0.022,-0.001,-0.003,-0.004,0.002
2.54,-0.001,-0.016,-0.001,-0.002,-0.003,0.001
2.55,-0.001,-0.012,-0.001,-0.002,-0.002,0.001
2.56,-0.001,-0.009,-0.001,-0.002,-0.001,0.001
2.57,0,-0.007,0,-0.002,-0.001,0.001
2.58,0,-0.005,0,-0.002,0,0.001
2.59,0,-0.004,0,-0.001,0,0.001
2.6,0,-0.003,0,-0.001,0,0
2.61,0,-0.002,0,-0.001,0,0
2.62,0,-0.001,0,-0.001,0,0
2.63,0,-0.001,0,-0.001,0,0
2.64,0,-0.001,0,-0.001,0,0
2.65,0,-0.001,0,-0.001,0.001,0
2.66,0,0,0,-0.001,0.001,0
2.67,0,0,0,-0.001,0.001,0
2.68,0,0,0,-0.001,0.001,0
2.69,0,0,0,-0.001,0.001,0
2.7,0,0,0,-0.001,0.001,0
2.71,0,0,0,-0.001,0.001,0
2.72,0,0,0,-0.001,0.001,0
2.73,0,0,0,-0.001,0.001,0
2.74,0,0,0,-0.001,0.001,0
2.75,0,0,0,-0.001,0.001,0
2.76,0,0,0,-0.001,0.001,0
2.77,0,0,0,-0.001,0.001,0
2.78,0,0,0,-0.001,0.001,0
2.79,0,0,0,-0.001,0.001,0
2.8,0,0,0,-0.001,0.001,0
2.81,0,0,0,-0.001,0.001,0
2.82,0,0,0,-0.001,0.001,0
2.83,0,0,0,-0.001,0.001,0
2.84,0,0,0,-0.001,0.001,0
2.85,0,0,0,-0.001,0.001,0
2.86,0,0,0,-0.001,0.001,0
2.87,0,0,0,-0.001,0.001,0
2.88,0,0,0,-0.001,0,0
2.89,0,0,0,-0.001,0,0
2.9,0,0,0,-0.001,0,0
2.91,0,0,0,-0.001,0,0
2.92,0,0,0,-0.001,0,0
2.93,0,0,0,-0.001,0,0
2.94,0,0,0,-0.001,0,0
2.95,0,0,0,-0.001,0,0
2.96,0,0,0,-0.001,0,0
2.97,0,0,0,-0.001,0,0
2.98,0,0,0,-0.001,0,0
2.99,0,0,0,-0.001,0,0
3,0,0,0,-0.001,0,0
3.01,0,0,0,-0.001,0,0
3.02,1.047,0.767,0.242,-0.128,0.248,-0.046
3.03,1.833,1.763,0.742,-0.166,0.488,-0.058
3.04,2.029,2.011,1.341,-0.177,0.687,-0.029
3.05,2.078,2.073,1.874,-0.196,0.836,-0.02
