0.000, 0.016, 0.010, 0.000
0.020, 0.025, 0.009, 0.000
0.040, 0.037, 0.003, 0.000
0.060, 0.053, -0.007, 0.000
0.080, 0.072, -0.027, 0.000
0.100, 0.095, -0.059, 0.000
0.120, 0.118, -0.110, 0.000
0.140, 0.139, -0.183, 0.000
0.160, 0.152, -0.284, 0.000
0.180, 0.146, -0.406, 0.000
0.200, 0.110, -0.533, 0.000
0.220, 0.032, -0.637, 0.000
0.240, -0.101, -0.701, 0.000
0.260, -0.294, -0.723, 0.000
0.280, -0.521, -0.712, 0.000
0.300, -0.713, -0.682, 0.000
0.320, -0.819, -0.645, 0.000
0.340, -0.861, -0.608, 0.000
0.360, -0.873, -0.572, 0.000
0.380, -0.875, -0.536, 0.000
0.400, -0.874, -0.500, 0.000
0.420, -0.871, -0.462, 0.000
0.440, -0.868, -0.420, 0.000
0.460, -0.865, -0.370, 0.000
0.480, -0.861, -0.310, 0.000
0.500, -0.855, -0.233, 0.000
0.520, -0.849, -0.130, 0.000
0.540, -0.839, 0.011, 0.000
0.560, -0.825, 0.202, 0.000
0.580, -0.804, 0.436, 0.000
0.600, -0.772, 0.657, 0.000
0.620, -0.730, 0.796, 0.000
0.640, -0.685, 0.854, 0.000
0.660, -0.643, 0.873, 0.000
0.680, -0.604, 0.877, 0.000
0.700, -0.568, 0.876, 0.000
0.720, -0.532, 0.874, 0.000
0.740, -0.496, 0.871, 0.000
0.760, -0.457, 0.868, 0.000
0.780, -0.414, 0.864, 0.000
0.800, -0.364, 0.860, 0.000
0.820, -0.302, 0.855, 0.000
0.840, -0.222, 0.848, 0.000
0.860, -0.115, 0.838, 0.000
0.880, 0.031, 0.823, 0.000
0.900, 0.228, 0.800, 0.000
0.920, 0.465, 0.767, 0.000
0.940, 0.679, 0.725, 0.000
0.960, 0.807, 0.680, 0.000
0.980, 0.858, 0.638, 0.000
1.000, 0.874, 0.599, 0.000
1.020, 0.877, 0.563, 0.000
1.040, 0.876, 0.528, 0.000
1.060, 0.873, 0.492, 0.000
1.080, 0.871, 0.453, 0.000
1.100, 0.868, 0.409, 0.000
1.120, 0.864, 0.357, 0.000
1.140, 0.860, 0.293, 0.000
1.160, 0.854, 0.211, 0.000
1.180, 0.847, 0.100, 0.000
1.200, 0.836, -0.052, 0.000
1.220, 0.821, -0.256, 0.000
1.240, 0.797, -0.494, 0.000
1.260, 0.762, -0.700, 0.000
1.280, 0.719, -0.816, 0.000
1.300, 0.675, -0.861, 0.000
1.320, 0.633, -0.874, 0.000
1.340, 0.595, -0.877, 0.000
1.360, 0.559, -0.875, 0.000
1.380, 0.524, -0.873, 0.000
1.400, 0.487, -0.870, 0.000
1.420, 0.448, -0.867, 0.000
1.440, 0.403, -0.863, 0.000
1.460, 0.350, -0.859, 0.000
1.480, 0.284, -0.853, 0.000
1.500, 0.199, -0.846, 0.000
1.520, 0.084, -0.835, 0.000
1.540, -0.074, -0.818, 0.000
1.560, -0.283, -0.793, 0.000
1.580, -0.522, -0.758, 0.000
1.600, -0.719, -0.714, 0.000
1.620, -0.824, -0.670, 0.000
1.640, -0.864, -0.628, 0.000
1.660, -0.875, -0.591, 0.000
1.680, -0.877, -0.555, 0.000
1.700, -0.875, -0.519, 0.000
1.720, -0.873, -0.482, 0.000
1.740, -0.870, -0.443, 0.000
1.760, -0.867, -0.397, 0.000
1.780, -0.863, -0.343, 0.000
1.800, -0.858, -0.275, 0.000
1.820, -0.852, -0.187, 0.000
1.840, -0.844, -0.068, 0.000
1.860, -0.833, 0.096, 0.000
1.880, -0.816, 0.312, 0.000
1.900, -0.790, 0.550, 0.000
1.920, -0.753, 0.736, 0.000
1.940, -0.709, 0.832, 0.000
1.960, -0.664, 0.866, 0.000
1.980, -0.624, 0.875, 0.000
2.000, -0.586, 0.877, 0.000
2.020, -0.550, 0.875, 0.000
2.040, -0.515, 0.872, 0.000
2.060, -0.478, 0.870, 0.000
2.080, -0.437, 0.866, 0.000
2.100, -0.391, 0.862, 0.000
2.120, -0.336, 0.858, 0.000
2.140, -0.266, 0.852, 0.000
2.160, -0.175, 0.843, 0.000
2.180, -0.051, 0.831, 0.000
2.200, 0.120, 0.813, 0.000
2.220, 0.340, 0.786, 0.000
2.240, 0.577, 0.748, 0.000
2.260, 0.753, 0.703, 0.000
2.280, 0.838, 0.659, 0.000
2.300, 0.868, 0.619, 0.000
2.320, 0.876, 0.582, 0.000
2.340, 0.876, 0.546, 0.000
2.360, 0.875, 0.511, 0.000
2.380, 0.872, 0.473, 0.000
2.400, 0.869, 0.432, 0.000
2.420, 0.866, 0.385, 0.000
2.440, 0.862, 0.328, 0.000
2.460, 0.857, 0.256, 0.000
2.480, 0.851, 0.162, 0.000
2.500, 0.842, 0.033, 0.000
2.520, 0.829, -0.144, 0.000
2.540, 0.810, -0.369, 0.000
2.560, 0.782, -0.602, 0.000
2.580, 0.742, -0.767, 0.000
2.600, 0.698, -0.844, 0.000
2.620, 0.654, -0.870, 0.000
2.640, 0.614, -0.876, 0.000
2.660, 0.577, -0.876, 0.000
2.680, 0.542, -0.874, 0.000
2.700, 0.506, -0.872, 0.000
2.720, 0.468, -0.869, 0.000
2.740, 0.427, -0.865, 0.000
2.760, 0.379, -0.861, 0.000
2.780, 0.320, -0.856, 0.000
2.800, 0.246, -0.850, 0.000
2.820, 0.148, -0.841, 0.000
2.840, 0.014, -0.828, 0.000
2.860, -0.169, -0.808, 0.000
2.880, -0.398, -0.777, 0.000
2.900, -0.627, -0.737, 0.000
2.920, -0.781, -0.692, 0.000
2.940, -0.849, -0.649, 0.000
2.960, -0.871, -0.610, 0.000
2.980, -0.876, -0.573, 0.000
3.000, -0.876, -0.538, 0.000
3.020, -0.874, -0.502, 0.000
3.040, -0.871, -0.464, 0.000
3.060, -0.868, -0.421, 0.000
3.080, -0.865, -0.372, 0.000
3.100, -0.861, -0.312, 0.000
3.120, -0.856, -0.236, 0.000
3.140, -0.849, -0.134, 0.000
3.160, -0.839, 0.005, 0.000
3.180, -0.826, 0.194, 0.000
3.200, -0.804, 0.428, 0.000
3.220, -0.773, 0.651, 0.000
3.240, -0.732, 0.793, 0.000
3.260, -0.687, 0.853, 0.000
3.280, -0.644, 0.872, 0.000
3.300, -0.605, 0.877, 0.000
3.320, -0.569, 0.876, 0.000
3.340, -0.533, 0.874, 0.000
3.360, -0.497, 0.871, 0.000
3.380, -0.459, 0.868, 0.000
3.400, -0.416, 0.865, 0.000
3.420, -0.366, 0.860, 0.000
3.440, -0.304, 0.855, 0.000
3.460, -0.225, 0.848, 0.000
3.480, -0.120, 0.838, 0.000
3.500, 0.025, 0.823, 0.000
3.520, 0.221, 0.801, 0.000
3.540, 0.457, 0.769, 0.000
3.560, 0.673, 0.726, 0.000
3.580, 0.804, 0.682, 0.000
3.600, 0.857, 0.639, 0.000
3.620, 0.873, 0.601, 0.000
3.640, 0.877, 0.565, 0.000
3.660, 0.876, 0.529, 0.000
3.680, 0.874, 0.493, 0.000
