Time (s),o1,o2,FC_R1,FC_R2,FC_L1,FC_L2,ExFC_R1,ExFC_R2,ExFC_L1,ExFC_L2
1.160, 0.854, 0.211, 0.000, 12.289, 16.145, 0.000, 0.000, 1.000, 1.000, 0.000
1.180, 0.847, 0.100, 0.000, 12.498, 16.059, 0.000, 0.000, 1.000, 1.000, 0.000
1.200, 0.836, -0.052, 0.000, 12.641, 15.808, 0.000, 0.000, 1.000, 1.000, 0.000
1.220, 0.821, -0.256, 0.000, 12.679, 15.632, 0.000, 0.000, 1.000, 1.000, 0.000
1.240, 0.797, -0.494, 0.000, 12.618, 15.777, 0.000, 0.000, 1.000, 1.000, 0.000
1.260, 0.762, -0.700, 0.000, 12.469, 15.961, 0.000, 0.000, 1.000, 1.000, 0.000
1.280, 0.719, -0.816, 0.000, 12.271, 16.086, 0.000, 0.000, 1.000, 1.000, 0.000
1.300, 0.675, -0.861, 0.000, 12.570, 16.307, 0.000, 0.000, 1.000, 1.000, 0.000
1.320, 0.633, -0.874, 0.000, 13.098, 16.268, 0.000, 0.000, 1.000, 1.000, 0.000
1.340, 0.595, -0.877, 0.000, 13.359, 15.901, 0.000, 0.000, 1.000, 1.000, 0.000
1.360, 0.559, -0.875, 0.000, 13.604, 15.450, 0.000, 0.000, 1.000, 1.000, 0.000
1.380, 0.524, -0.873, 0.000, 11.054, 14.177, 0.000, 0.000, 1.000, 1.000, 0.000
1.400, 0.487, -0.870, 0.000, 11.646, 13.904, 0.000, 0.000, 1.000, 1.000, 0.000
1.420, 0.448, -0.867, 0.000, 11.794, 14.105, 0.000, 0.000, 1.000, 1.000, 0.000
1.440, 0.403, -0.863, 0.000, 11.669, 14.291, 0.000, 0.000, 1.000, 1.000, 0.000
