Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.165, 0.031, -0.285, -0.416, 0.031, -0.310, -0.460, 0.031, -0.349, -0.572, -0.032, -0.337, -0.556, -0.032, -0.315, -0.483, -0.032, -0.297, 
0.165, 0.031, -0.285, -0.416, 0.031, -0.310, -0.460, 0.031, -0.349, -0.572, -0.032, -0.337, -0.556, -0.032, -0.315, -0.483, -0.032, -0.297, 
0.165, 0.031, -0.285, -0.416, 0.031, -0.310, -0.460, 0.031, -0.349, -0.572, -0.032, -0.337, -0.556, -0.032, -0.315, -0.483, -0.032, -0.297, 
0.180, 0.033, -0.201, -0.241, 0.033, -0.218, -0.273, 0.033, -0.276, -0.388, -0.033, -0.273, -0.378, -0.033, -0.230, -0.297, -0.033, -0.189, 
0.180, 0.033, -0.201, -0.241, 0.033, -0.218, -0.273, 0.033, -0.276, -0.388, -0.033, -0.273, -0.378, -0.033, -0.230, -0.297, -0.033, -0.189, 
0.180, 0.033, -0.201, -0.241, 0.033, -0.218, -0.273, 0.033, -0.276, -0.388, -0.033, -0.273, -0.378, -0.033, -0.230, -0.297, -0.033, -0.189, 
0.195, 0.021, -0.082, -0.114, 0.021, -0.090, -0.131, 0.021, -0.099, -0.170, -0.021, -0.134, -0.202, -0.021, -0.097, -0.145, -0.021, -0.039, 
0.195, 0.021, -0.082, -0.114, 0.021, -0.090, -0.131, 0.021, -0.099, -0.170, -0.021, -0.134, -0.202, -0.021, -0.097, -0.145, -0.021, -0.039, 
0.195, 0.021, -0.082, -0.114, 0.021, -0.090, -0.131, 0.021, -0.099, -0.170, -0.021, -0.134, -0.202, -0.021, -0.097, -0.145, -0.021, -0.039, 
0.210, 0.009, 0.079, 0.040, 0.009, 0.084, 0.039, 0.009, 0.136, 0.081, -0.009, 0.055, -0.000, -0.009, 0.084, 0.037, -0.009, 0.160, 
0.210, 0.009, 0.079, 0.040, 0.009, 0.084, 0.039, 0.009, 0.136, 0.081, -0.009, 0.055, -0.000, -0.009, 0.084, 0.037, -0.009, 0.160, 
0.210, 0.009, 0.079, 0.040, 0.009, 0.084, 0.039, 0.009, 0.136, 0.081, -0.009, 0.055, -0.000, -0.009, 0.084, 0.037, -0.009, 0.160, 
0.225, 0.001, 0.216, 0.167, 0.001, 0.230, 0.179, 0.001, 0.318, 0.269, -0.001, 0.212, 0.161, -0.001, 0.235, 0.184, -0.001, 0.319, 
0.225, 0.001, 0.216, 0.167, 0.001, 0.230, 0.179, 0.001, 0.318, 0.269, -0.001, 0.212, 0.161, -0.001, 0.235, 0.184, -0.001, 0.319, 
0.225, 0.001, 0.216, 0.167, 0.001, 0.230, 0.179, 0.001, 0.318, 0.269, -0.001, 0.212, 0.161, -0.001, 0.235, 0.184, -0.001, 0.319, 
0.240, 0.002, 0.317, 0.262, 0.002, 0.339, 0.283, 0.002, 0.354, 0.305, -0.002, 0.309, 0.259, -0.002, 0.325, 0.270, -0.002, 0.376, 
0.240, 0.002, 0.317, 0.262, 0.002, 0.339, 0.283, 0.002, 0.354, 0.305, -0.002, 0.309, 0.259, -0.002, 0.325, 0.270, -0.002, 0.376, 
0.240, 0.002, 0.317, 0.262, 0.002, 0.339, 0.283, 0.002, 0.354, 0.305, -0.002, 0.309, 0.259, -0.002, 0.325, 0.270, -0.002, 0.376, 
0.255, 0.004, 0.378, 0.317, 0.004, 0.389, 0.329, 0.004, 0.355, 0.305, -0.004, 0.356, 0.305, -0.004, 0.373, 0.314, -0.004, 0.393, 
0.255, 0.004, 0.378, 0.317, 0.004, 0.389, 0.329, 0.004, 0.355, 0.305, -0.004, 0.356, 0.305, -0.004, 0.373, 0.314, -0.004, 0.393, 
0.255, 0.004, 0.378, 0.317, 0.004, 0.389, 0.329, 0.004, 0.355, 0.305, -0.004, 0.356, 0.305, -0.004, 0.373, 0.314, -0.004, 0.393, 
0.270, 0.006, 0.399, 0.336, 0.006, 0.397, 0.334, 0.006, 0.356, 0.306, -0.006, 0.360, 0.309, -0.006, 0.389, 0.329, -0.006, 0.403, 
0.270, 0.006, 0.399, 0.336, 0.006, 0.397, 0.334, 0.006, 0.356, 0.306, -0.006, 0.360, 0.309, -0.006, 0.389, 0.329, -0.006, 0.403, 
0.270, 0.006, 0.399, 0.336, 0.006, 0.397, 0.334, 0.006, 0.356, 0.306, -0.006, 0.360, 0.309, -0.006, 0.389, 0.329, -0.006, 0.403, 
0.285, 0.006, 0.397, 0.332, 0.006, 0.397, 0.333, 0.006, 0.359, 0.308, -0.006, 0.361, 0.309, -0.006, 0.389, 0.327, -0.006, 0.404, 
0.285, 0.006, 0.397, 0.332, 0.006, 0.397, 0.333, 0.006, 0.359, 0.308, -0.006, 0.361, 0.309, -0.006, 0.389, 0.327, -0.006, 0.404, 
0.285, 0.006, 0.397, 0.332, 0.006, 0.397, 0.333, 0.006, 0.359, 0.308, -0.006, 0.361, 0.309, -0.006, 0.389, 0.327, -0.006, 0.404, 
0.300, 0.004, 0.384, 0.317, 0.004, 0.384, 0.319, 0.004, 0.354, 0.302, -0.004, 0.353, 0.299, -0.004, 0.377, 0.315, -0.004, 0.393, 
0.300, 0.004, 0.384, 0.317, 0.004, 0.384, 0.319, 0.004, 0.354, 0.302, -0.004, 0.353, 0.299, -0.004, 0.377, 0.315, -0.004, 0.393, 
0.300, 0.004, 0.384, 0.317, 0.004, 0.384, 0.319, 0.004, 0.354, 0.302, -0.004, 0.353, 0.299, -0.004, 0.377, 0.315, -0.004, 0.393, 
0.315, 0.004, 0.365, 0.298, 0.004, 0.366, 0.300, 0.003, 0.342, 0.289, -0.004, 0.338, 0.283, -0.004, 0.360, 0.297, -0.003, 0.375, 
0.315, 0.004, 0.365, 0.298, 0.004, 0.366, 0.300, 0.003, 0.342, 0.289, -0.004, 0.338, 0.283, -0.004, 0.360, 0.297, -0.003, 0.375, 
0.315, 0.004, 0.365, 0.298, 0.004, 0.366, 0.300, 0.003, 0.342, 0.289, -0.004, 0.338, 0.283, -0.004, 0.360, 0.297, -0.003, 0.375, 
0.330, 0.003, 0.343, 0.276, 0.003, 0.345, 0.279, 0.003, 0.325, 0.271, -0.003, 0.320, 0.265, -0.003, 0.340, 0.276, -0.003, 0.354, 
0.330, 0.003, 0.343, 0.276, 0.003, 0.345, 0.279, 0.003, 0.325, 0.271, -0.003, 0.320, 0.265, -0.003, 0.340, 0.276, -0.003, 0.354, 
