k_x,k_y,final_pos_x,final_pos_y,final_pos_z
0.3,0.4,0.459639,0.923194,0.176002
-0.3,0.5,-0.276443,1.078144,0.168917
-0.2,0.5,-0.384548,1.0053,0.151834
-0.1,0.5,-0.276226,1.134007,0.156964
2.7755575615629e-17,0.5,0.079861,1.465153,0.139008
0.1,0.5,0.224224,0.969638,0.159828
0.2,0.5,0.39387,0.899025,0.163327
0.3,0.5,0.429251,1.005925,0.175742
-0.3,0.6,-0.299771,1.219204,0.166533
-0.2,0.6,0.054168,1.128701,0.164
-0.1,0.6,-0.188493,1.368817,0.158629
2.7755575615629e-17,0.6,0.088025,1.608669,0.13135
0.1,0.6,0.204214,1.398152,0.165122
0.2,0.6,0.302202,1.116249,0.171734
0.3,0.6,0.399268,1.054821,0.172208
-0.3,0.7,-0.39936,1.587572,0.153407
-0.2,0.7,-0.207994,1.624647,0.152381
-0.1,0.7,-0.137268,1.804872,0.12879
2.7755575615629e-17,0.7,0.112326,1.78808,0.130002
0.1,0.7,0.101893,1.59276,0.150441
0.2,0.7,0.257512,1.441512,0.160086
0.3,0.7,0.127905,0.902499,0.145623
-0.3,0.8,-0.336969,1.546898,0.164225
-0.2,0.8,-0.20307,1.790236,0.145217
-0.1,0.8,-0.074702,1.839717,0.138015
2.7755575615629e-17,0.8,0.020586,1.886084,0.145043
0.1,0.8,0.201925,1.742984,0.14451
0.2,0.8,0.242391,1.585733,0.149784
0.3,0.8,0.213319,0.735889,0.190766
-0.3,0.9,-0.390418,1.598207,0.154249
-0.2,0.9,-0.108137,1.918944,0.143586
-0.1,0.9,-0.062639,2.026416,0.140167
2.7755575615629e-17,0.9,0.119896,2.039507,0.144881
0.1,0.9,0.07244,1.857614,0.146588
0.2,0.9,0.292767,1.680112,0.147299
0.3,0.9,0.219471,1.325969,0.132637
-0.3,1.0,-0.080081,1.958275,0.134239
-0.2,1.0,-0.012254,2.129886,0.136072
-0.1,1.0,0.080666,2.173884,0.132547
2.7755575615629e-17,1.0,0.114811,2.199249,0.137281
0.1,1.0,0.112988,2.055432,0.141257
0.2,1.0,0.240885,1.878421,0.146098
0.3,1.0,0.320943,1.48305,0.170193
