Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.220, -0.001, -0.765, 0.060, -0.001, -0.765, 0.060, -0.001, -0.765, 0.060, 0.001, -0.765, 0.060, 0.001, -0.765, 0.060, 0.001, -0.765, 
0.220, -0.001, -0.765, 0.060, -0.001, -0.765, 0.060, -0.001, -0.765, 0.060, 0.001, -0.765, 0.060, 0.001, -0.765, 0.060, 0.001, -0.765, 
0.220, -0.001, -0.765, 0.060, -0.001, -0.765, 0.060, -0.001, -0.765, 0.060, 0.001, -0.765, 0.060, 0.001, -0.765, 0.060, 0.001, -0.765, 
0.240, -0.001, -0.750, 0.062, -0.001, -0.750, 0.062, -0.001, -0.750, 0.062, 0.001, -0.750, 0.062, 0.001, -0.750, 0.062, 0.001, -0.750, 
0.240, -0.001, -0.750, 0.062, -0.001, -0.750, 0.062, -0.001, -0.750, 0.062, 0.001, -0.750, 0.062, 0.001, -0.750, 0.062, 0.001, -0.750, 
0.240, -0.001, -0.750, 0.062, -0.001, -0.750, 0.062, -0.001, -0.750, 0.062, 0.001, -0.750, 0.062, 0.001, -0.750, 0.062, 0.001, -0.750, 
0.260, 0.001, -0.747, 0.062, 0.001, -0.747, 0.062, 0.001, -0.747, 0.062, -0.001, -0.747, 0.062, -0.001, -0.747, 0.062, -0.001, -0.747, 
0.260, 0.001, -0.747, 0.062, 0.001, -0.747, 0.062, 0.001, -0.747, 0.062, -0.001, -0.747, 0.062, -0.001, -0.747, 0.062, -0.001, -0.747, 
0.260, 0.001, -0.747, 0.062, 0.001, -0.747, 0.062, 0.001, -0.747, 0.062, -0.001, -0.747, 0.062, -0.001, -0.747, 0.062, -0.001, -0.747, 
0.280, 0.001, -0.755, 0.059, 0.001, -0.755, 0.059, 0.001, -0.755, 0.059, 0.000, -0.755, 0.059, 0.000, -0.755, 0.059, 0.000, -0.755, 
0.280, 0.001, -0.755, 0.059, 0.001, -0.755, 0.059, 0.001, -0.755, 0.059, 0.000, -0.755, 0.059, 0.000, -0.755, 0.059, 0.000, -0.755, 
0.280, 0.001, -0.755, 0.059, 0.001, -0.755, 0.059, 0.001, -0.755, 0.059, 0.000, -0.755, 0.059, 0.000, -0.755, 0.059, 0.000, -0.755, 
0.300, -0.001, -0.771, 0.054, -0.001, -0.771, 0.054, -0.001, -0.771, 0.054, 0.001, -0.771, 0.054, 0.001, -0.771, 0.054, 0.001, -0.771, 
0.300, -0.001, -0.771, 0.054, -0.001, -0.771, 0.054, -0.001, -0.771, 0.054, 0.001, -0.771, 0.054, 0.001, -0.771, 0.054, 0.001, -0.771, 
0.300, -0.001, -0.771, 0.054, -0.001, -0.771, 0.054, -0.001, -0.771, 0.054, 0.001, -0.771, 0.054, 0.001, -0.771, 0.054, 0.001, -0.771, 
0.320, 0.000, -0.792, 0.049, 0.000, -0.792, 0.049, 0.000, -0.792, 0.049, -0.001, -0.792, 0.049, -0.001, -0.792, 0.049, -0.001, -0.792, 
0.320, 0.000, -0.792, 0.049, 0.000, -0.792, 0.049, 0.000, -0.792, 0.049, -0.001, -0.792, 0.049, -0.001, -0.792, 0.049, -0.001, -0.792, 
0.320, 0.000, -0.792, 0.049, 0.000, -0.792, 0.049, 0.000, -0.792, 0.049, -0.001, -0.792, 0.049, -0.001, -0.792, 0.049, -0.001, -0.792, 
0.340, 0.001, -0.814, 0.044, 0.001, -0.814, 0.044, 0.001, -0.814, 0.044, -0.001, -0.814, 0.044, -0.001, -0.814, 0.044, -0.001, -0.814, 
0.340, 0.001, -0.814, 0.044, 0.001, -0.814, 0.044, 0.001, -0.814, 0.044, -0.001, -0.814, 0.044, -0.001, -0.814, 0.044, -0.001, -0.814, 
0.340, 0.001, -0.814, 0.044, 0.001, -0.814, 0.044, 0.001, -0.814, 0.044, -0.001, -0.814, 0.044, -0.001, -0.814, 0.044, -0.001, -0.814, 
0.360, -0.001, -0.834, 0.040, -0.001, -0.834, 0.040, -0.001, -0.834, 0.040, 0.001, -0.834, 0.040, 0.001, -0.834, 0.040, 0.001, -0.834, 
