Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X R1,Body Vel Y R1,Body Vel Z R1,Body Vel X R2,Body Vel Y R2,Body Vel Z R2,Body Vel X L1,Body Vel Y L1,Body Vel Z L1,Body Vel X L2,Body Vel Y L2,Body Vel Z L2,
1.200, -0.118, -0.027, -0.046, -0.088, -0.106, -0.066, 0.023, 0.032, 0.053, -0.016, 0.101, 0.093, 0.012, -0.015, 0.011, 0.013, -0.028, 0.001, 0.002, -0.016, -0.001, 0.003, -0.029, -0.011
1.210, -0.086, -0.040, -0.055, -0.054, -0.087, -0.071, 0.024, 0.041, 0.060, -0.016, 0.090, 0.084, 0.007, -0.018, 0.009, 0.007, -0.026, 0.002, 0.001, -0.018, -0.003, 0.001, -0.026, -0.010
1.220, -0.059, -0.051, -0.061, -0.026, -0.071, -0.075, 0.024, 0.049, 0.066, -0.016, 0.081, 0.076, 0.002, -0.020, 0.007, 0.003, -0.024, 0.002, -0.000, -0.020, -0.004, 0.000, -0.024, -0.009
1.230, -0.037, -0.060, -0.066, -0.003, -0.057, -0.077, 0.023, 0.055, 0.073, -0.017, 0.072, 0.070, -0.001, -0.022, 0.006, -0.001, -0.022, 0.003, -0.001, -0.022, -0.005, -0.001, -0.022, -0.008
1.240, -0.020, -0.069, -0.069, 0.016, -0.046, -0.079, 0.022, 0.059, 0.078, -0.018, 0.065, 0.065, -0.004, -0.023, 0.005, -0.004, -0.021, 0.003, -0.002, -0.023, -0.005, -0.002, -0.021, -0.007
1.250, -0.007, -0.076, -0.072, 0.030, -0.037, -0.080, 0.020, 0.062, 0.082, -0.020, 0.059, 0.061, -0.006, -0.024, 0.005, -0.006, -0.020, 0.003, -0.002, -0.024, -0.005, -0.002, -0.020, -0.007
1.260, 0.003, -0.081, -0.073, 0.041, -0.029, -0.081, 0.017, 0.064, 0.086, -0.021, 0.053, 0.059, -0.008, -0.025, 0.004, -0.008, -0.019, 0.004, -0.002, -0.025, -0.005, -0.002, -0.019, -0.006
1.270, 0.010, -0.085, -0.074, 0.048, -0.024, -0.081, 0.015, 0.065, 0.089, -0.023, 0.049, 0.056, -0.009, -0.026, 0.004, -0.009, -0.018, 0.004, -0.002, -0.026, -0.005, -0.003, -0.018, -0.006
1.280, 0.014, -0.088, -0.074, 0.053, -0.020, -0.081, 0.013, 0.065, 0.091, -0.024, 0.046, 0.055, -0.009, -0.026, 0.004, -0.009, -0.017, 0.004, -0.002, -0.026, -0.005, -0.003, -0.017, -0.005
1.290, 0.017, -0.089, -0.073, 0.056, -0.018, -0.080, 0.011, 0.064, 0.092, -0.025, 0.043, 0.054, -0.010, -0.026, 0.004, -0.010, -0.017, 0.004, -0.002, -0.026, -0.005, -0.002, -0.017, -0.005
